진료년월,요양기관소재지구분,계,서울,부산,인천,대구,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2012년 01월,환자수,"4,515,711","878,429","325,183","217,302","212,811","139,033","159,718","114,357","1,022,940","143,695","139,729","216,858","189,181","188,270","245,815","320,221","53,702",-
2012년 01월,내원일수,"6,946,070","1,349,279","509,508","328,696","325,112","214,119","240,916","180,546","1,571,187","212,450","202,631","322,817","284,832","285,677","357,371","480,666","80,263",-
2012년 02월,환자수,"4,508,999","885,261","294,218","219,221","235,546","137,289","138,903","119,216","1,028,227","134,879","132,149","198,437","187,418","182,213","268,983","326,169","61,135",-
2012년 02월,내원일수,"7,051,277","1,383,401","465,014","338,939","372,136","211,491","210,680","192,608","1,603,306","202,556","194,425","299,724","291,735","281,606","407,213","502,163","94,280",-
2012년 03월,환자수,"4,825,529","973,007","317,322","251,350","228,093","139,240","166,908","124,749","1,182,611","141,569","141,750","222,162","182,774","174,488","245,678","314,563","61,192",-
2012년 03월,내원일수,"7,688,446","1,553,372","507,621","400,364","362,146","219,803","260,091","205,739","1,902,323","216,342","211,864","340,874","286,333","269,397","373,262","484,785","94,130",-
2012년 04월,환자수,"4,492,697","897,126","309,024","235,248","218,650","135,100","154,567","115,578","1,075,448","134,741","130,529","206,796","178,919","159,223","228,296","300,966","53,148",-
2012년 04월,내원일수,"7,105,434","1,423,679","492,251","375,040","345,889","212,067","237,165","187,098","1,709,512","204,685","194,230","316,475","280,203","242,081","343,985","461,226","79,848",-
2012년 05월,환자수,"3,902,801","781,723","272,998","202,295","179,704","120,770","135,174","104,861","940,287","114,781","111,914","174,033","152,366","141,499","189,481","272,371","47,332",-
2012년 05월,내원일수,"6,167,518","1,241,076","435,167","320,761","282,161","190,194","207,532","169,357","1,488,054","173,730","166,141","266,982","238,155","215,925","284,286","417,324","70,669",-
2012년 06월,환자수,"2,935,502","591,842","192,403","151,228","135,191","87,087","107,025","76,792","726,868","86,905","84,581","133,579","110,122","102,773","141,202","197,781","36,164",-
2012년 06월,내원일수,"4,566,217","922,595","301,136","235,747","211,050","135,123","163,500","121,775","1,132,324","129,368","124,843","200,938","169,965","154,469","210,602","299,467","53,207",-
2012년 07월,환자수,"2,545,287","518,067","159,948","133,341","117,098","78,943","90,776","65,589","650,208","74,068","73,788","109,217","95,381","86,388","121,890","164,295","31,727","4,053"
2012년 07월,내원일수,"3,973,329","806,206","250,947","209,397","181,150","123,966","137,409","103,402","1,018,953","108,900","109,416","164,039","148,884","129,707","179,963","248,573","46,673","5,744"
2012년 08월,환자수,"2,407,199","485,272","156,168","123,222","109,578","77,522","84,933","60,950","609,972","73,676","70,870","103,040","92,577","85,042","113,525","155,402","32,615","4,386"
2012년 08월,내원일수,"3,654,778","728,050","239,188","185,517","167,598","120,124","124,690","93,950","920,874","106,697","101,337","151,104","139,868","127,800","162,416","230,809","48,477","6,279"
2012년 09월,환자수,"3,747,285","752,215","230,789","197,175","172,165","124,670","140,815","94,167","970,413","105,571","114,045","165,385","143,409","120,608","169,731","229,185","42,545","7,284"
2012년 09월,내원일수,"5,844,419","1,171,521","355,370","307,648","270,837","194,397","215,610","148,731","1,525,839","158,852","169,283","251,632","222,570","180,710","251,951","345,318","63,229","10,921"
2012년 10월,환자수,"4,161,103","804,430","288,051","205,719","207,968","133,651","149,573","112,188","992,999","121,461","125,163","184,005","169,188","154,792","213,973","282,278","48,977","8,420"
2012년 10월,내원일수,"6,464,772","1,249,103","448,752","318,896","324,698","207,801","227,065","179,034","1,548,708","181,701","183,708","278,063","262,177","231,665","314,666","423,023","73,544","12,168"
2012년 11월,환자수,"4,061,214","804,657","272,669","209,022","193,859","123,266","144,303","103,988","992,666","116,854","120,492","178,121","165,742","147,532","197,098","265,589","48,280","8,121"
2012년 11월,내원일수,"6,339,311","1,261,354","426,111","327,729","303,999","192,817","220,585","165,923","1,564,153","175,764","178,112","271,540","256,892","221,957","289,196","399,755","71,604","11,820"
2012년 12월,환자수,"3,763,595","741,741","252,183","195,631","177,454","121,327","132,150","97,605","907,571","110,712","110,274","161,092","153,148","147,289","180,460","249,563","49,241","7,187"
2012년 12월,내원일수,"5,754,111","1,136,341","389,341","298,100","271,987","188,970","197,108","152,841","1,394,703","162,933","159,328","238,664","233,349","218,339","260,113","368,509","73,088","10,397"
2013년 01월,환자수,"4,025,442","832,835","263,497","197,667","184,719","122,965","142,117","101,545","959,339","117,819","117,027","183,330","162,475","155,146","199,700","259,640","52,008","7,936"
2013년 01월,내원일수,"6,164,210","1,276,069","408,815","297,612","284,882","192,726","213,135","159,377","1,465,255","174,515","169,908","272,378","248,703","236,300","288,939","385,899","78,402","11,295"
2013년 02월,환자수,"4,124,781","772,293","301,639","194,176","199,330","148,503","144,957","114,521","935,402","114,960","122,858","185,458","173,220","175,832","221,733","300,719","50,706","7,935"
2013년 02월,내원일수,"6,240,981","1,167,176","461,291","290,985","303,035","226,200","215,018","177,631","1,412,389","168,064","176,360","272,664","261,652","262,730","320,077","440,823","73,878","10,945"
2013년 03월,환자수,"4,460,204","880,950","293,641","225,275","213,910","140,514","156,469","119,074","1,079,390","136,085","132,583","203,184","179,742","166,816","224,498","282,711","53,265","8,722"
2013년 03월,내원일수,"6,945,678","1,374,548","460,146","350,150","334,791","220,395","236,705","189,972","1,687,143","205,893","196,424","309,108","277,682","256,062","330,885","423,466","79,780","12,416"
2013년 04월,환자수,"4,338,749","880,233","283,411","220,107","199,470","140,100","154,108","112,757","1,056,505","132,223","126,450","196,882","173,667","158,488","208,724","269,605","52,040","8,650"
2013년 04월,내원일수,"6,798,057","1,388,164","446,858","345,201","310,928","221,300","235,540","181,398","1,663,381","200,227","187,907","301,075","270,173","241,854","308,660","406,215","76,752","12,402"
2013년 05월,환자수,"3,668,718","751,833","233,185","191,727","163,888","120,747","134,457","92,362","914,474","109,744","104,833","164,073","145,565","132,981","165,412","225,206","43,510","7,283"
2013년 05월,내원일수,"5,713,807","1,178,229","364,524","300,059","252,332","188,486","204,154","147,953","1,424,828","164,918","155,958","248,870","225,735","202,512","242,183","339,354","63,344","10,368"
2013년 06월,환자수,"2,863,947","589,382","171,733","154,296","124,235","89,707","104,922","73,400","740,123","83,310","82,216","127,440","114,532","98,155","126,550","171,383","34,685","5,831"
2013년 06월,내원일수,"4,475,503","926,692","268,235","241,788","191,896","141,521","159,021","117,147","1,155,488","125,452","123,248","193,136","179,316","149,658","186,781","257,377","50,403","8,344"
2013년 07월,환자수,"2,631,503","549,627","157,056","138,127","116,629","82,049","94,746","68,916","683,977","76,050","78,006","113,017","103,391","89,131","121,352","153,522","31,150","5,499"
2013년 07월,내원일수,"4,126,069","861,146","246,864","216,288","179,365","130,490","144,018","110,192","1,069,202","113,130","117,150","171,929","163,128","138,473","179,375","231,686","45,458","8,175"
